Lifecycle Stage,Songs,Percentage
New Entry,233,39.96569468267582
Peak Phase,148,25.38593481989708
Growth Phase,89,15.265866209262436
Mature Phase,70,12.006861063464838
Decline Phase,43,7.375643224699828
