duration_group,songs,avg_lifecycle_days,avg_peak_position,avg_popularity
<2.5 min,71,39.33802816901409,23.901408450704224,69.21126760563381
2.5–3 min,160,59.85625,23.08125,72.64375
3–3.5 min,167,65.79640718562874,21.05389221556886,76.60479041916167
3.5–4 min,106,54.698113207547166,20.28301886792453,75.16037735849056
>4 min,79,47.32911392405063,21.810126582278482,76.44303797468355
