popularity_group,songs,avg_lifecycle_days,avg_peak_position,avg_time_to_peak
<40,7,1.2857142857142858,45.0,0.14285714285714285
40–60,41,3.1219512195121952,35.36585365853659,0.3902439024390244
60–70,107,8.69158878504673,29.53271028037383,2.177570093457944
70–80,174,45.2183908045977,19.867816091954023,10.454022988505747
80–90,161,93.73913043478261,15.546583850931677,14.813664596273291
90+,73,121.15068493150685,15.136986301369863,14.972602739726028
